REQUIREMENT_ID	SOURCE	SOURCE_COMMIT	SOURCE_LOCATION	SOURCE_HASH	EXACT_PASSAGE	CLASSIFICATION	INTERPRETATION	COMPONENT	ACCEPTANCE_TEST	EVIDENCE	STATUS	OPEN_QUESTION	DECISION_REFERENCE
M-031	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L112-L113	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"We will need to be aware of the realities of what happens as the burn of CAW scales, 
as we will not be able to change the cost of the protocol once set in motion. "	mandatory behavior	Protocol costs cannot be changed once deployed; analyze scale before finalizing constants.	Immutable economics	Test no runtime role can change costs; model cost/availability under stress before approval.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: DEMO CONSTANTS ONLY: named appendix fees are JavaScript constants. This is not immutable deployed pricing or an approved production schedule. See DECISION_LOG.md#d-004 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Which reviewed schedule and units are viable before irreversible deployment?	SPEC_CONFLICTS.md#c-003
M-032	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L115-L120	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"The necessary cost calculations in CAW are: 

i. Amount of CAW to send CAW (all of which is distributed among stakers). 
ii. Amount of CAW to like a CAW. (sent to OP). 
iii. Amount of CAW to reCAW a CAW (distributed amount OP and stakers). 
iv. Burn amounts for various length'd username NFTs."	ambiguity	The economic summary repeats post-to-stakers and like-to-poster, but reCAW includes both poster and stakers.	Settlement specification	Register each summary/prose/appendix interpretation; fix exact routing only by recorded decision.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CONFLICTS RETAINED: one appendix scenario is implemented and model-tested. Competing source prose remains documented; no second production model, specification amendment or community agreement is inferred. See DECISION_LOG.md#d-004 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Resolve conflicting percentages and recipient definitions.	SPEC_CONFLICTS.md#c-002
M-033	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L122-L126	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"We did quite a bit of math to consider the following numbers, but we may have missed something.
It was calculated in such a way that liking, reCAWing, and posting, is always affordable at a market cap of 10 billion, 
while ensuring that the more rare and shorter usernames remain damn expensive. 

The following is the recommended cost, along with the estimated amount in US Dollars in brackets at the three target MC's (50 mln, 1 bln, 10 bln). "	recommendation	The schedule is recommended, acknowledges possible mistakes and is explicitly open to debate; affordability is an assertion to test.	Economics design	Model base-unit schedules, market scenarios and real operating costs without promising prices.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED ARITHMETIC ONLY: fixture fees, allocation and conservation. UI describes recommendations/simulation; no live-price feed, real execution/storage funding model or affordability guarantee. See DECISION_LOG.md#d-004 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	Which constants will be approved and what changes are deviations?	SPEC_CONFLICTS.md#c-003
M-034	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L128	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- Single Character username (rare!) BURN 1,000,000,000,000 ($89,985, $1,799,712, $17,997,120) 	recommendation	Historical recommended mint burn for 1 character: 1,000,000,000,000 CAW; not a current USD value.	Username economics	Use exact integer base units after actual token decimals are verified; reject wrong burn and verify supply/custody consequence.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED UI ONLY: historical recommended burn band appears in the username preview table. No automated browser interaction, actual burn/mint, token integration or approved production pricing. See DECISION_LOG.md#d-014 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Production schedule and actual zero-address mechanism remain unresolved.	SPEC_CONFLICTS.md#c-001
M-035	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L129	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- 2 Character username - BURN 240,000,000,000 CAW ($21,600, $432,000, $4,320,000) 	recommendation	Historical recommended mint burn for 2 characters: 240,000,000,000 CAW; not a current USD value.	Username economics	Use exact integer base units after actual token decimals are verified; reject wrong burn and verify supply/custody consequence.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED UI ONLY: historical recommended burn band appears in the username preview table. No automated browser interaction, actual burn/mint, token integration or approved production pricing. See DECISION_LOG.md#d-014 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Production schedule and actual zero-address mechanism remain unresolved.	SPEC_CONFLICTS.md#c-001
M-036	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L130	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- 3 Character Username - BURN 60,000,000,000 CAW ($5400, $108,000, $1,080,000) 	recommendation	Historical recommended mint burn for 3 characters: 60,000,000,000 CAW; not a current USD value.	Username economics	Use exact integer base units after actual token decimals are verified; reject wrong burn and verify supply/custody consequence.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED UI ONLY: historical recommended burn band appears in the username preview table. No automated browser interaction, actual burn/mint, token integration or approved production pricing. See DECISION_LOG.md#d-014 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Production schedule and actual zero-address mechanism remain unresolved.	SPEC_CONFLICTS.md#c-001
M-037	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L131	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- 4 Character Username - BURN 6,000,000,000 CAW ($540, $10,800 $108,000) 	recommendation	Historical recommended mint burn for 4 characters: 6,000,000,000 CAW; not a current USD value.	Username economics	Use exact integer base units after actual token decimals are verified; reject wrong burn and verify supply/custody consequence.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED UI ONLY: historical recommended burn band appears in the username preview table. No automated browser interaction, actual burn/mint, token integration or approved production pricing. See DECISION_LOG.md#d-014 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Production schedule and actual zero-address mechanism remain unresolved.	SPEC_CONFLICTS.md#c-001
M-038	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L132	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- 5 Character username - BURN 200,000,000 CAW ($18, $360, $3600) 	recommendation	Historical recommended mint burn for 5 characters: 200,000,000 CAW; not a current USD value.	Username economics	Use exact integer base units after actual token decimals are verified; reject wrong burn and verify supply/custody consequence.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED UI ONLY: historical recommended burn band appears in the username preview table. No automated browser interaction, actual burn/mint, token integration or approved production pricing. See DECISION_LOG.md#d-014 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Production schedule and actual zero-address mechanism remain unresolved.	SPEC_CONFLICTS.md#c-001
M-039	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L133	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- 6 Character username - BURN 20,000,000 CAW ($1.80, $36, $360) 	recommendation	Historical recommended mint burn for 6 characters: 20,000,000 CAW; not a current USD value.	Username economics	Use exact integer base units after actual token decimals are verified; reject wrong burn and verify supply/custody consequence.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED UI ONLY: historical recommended burn band appears in the username preview table. No automated browser interaction, actual burn/mint, token integration or approved production pricing. See DECISION_LOG.md#d-014 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Production schedule and actual zero-address mechanism remain unresolved.	SPEC_CONFLICTS.md#c-001
M-040	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L134	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- 7 Character username -BURN 10,000,000 CAW (90c, $18, $180) 	recommendation	Historical recommended mint burn for 7 characters: 10,000,000 CAW; not a current USD value.	Username economics	Use exact integer base units after actual token decimals are verified; reject wrong burn and verify supply/custody consequence.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED UI ONLY: historical recommended burn band appears in the username preview table. No automated browser interaction, actual burn/mint, token integration or approved production pricing. See DECISION_LOG.md#d-014 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Production schedule and actual zero-address mechanism remain unresolved.	SPEC_CONFLICTS.md#c-001
M-041	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L135	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- 8 Character and up username - BURN 1,000,000 CAW (9c, $1.80, $18) 	recommendation	Historical recommended mint burn for 8+ characters: 1,000,000 CAW; not a current USD value.	Username economics	Use exact integer base units after actual token decimals are verified; reject wrong burn and verify supply/custody consequence.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED UI ONLY: historical recommended burn band appears in the username preview table. No automated browser interaction, actual burn/mint, token integration or approved production pricing. See DECISION_LOG.md#d-014 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Production schedule and actual zero-address mechanism remain unresolved.	SPEC_CONFLICTS.md#c-001
M-042	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L137	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- Follow an Account (paid 80/20 to account and stakepool) 30000 (na,0.009,9c) 	recommendation	Follow costs 30,000 CAW, routed 80% to followed account and 20% to stakepool.	Follow settlement	For this proposed fixture, route 24,000 and 6,000 CAW exactly; test repeats, unfollow/refollow and self-follow under agreed rules.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED APPENDIX DEMO ONLY: follow debits 30,000 synthetic CAW, credits 24,000 to target and 6,000 to eligible weights; self/repeat follows reject. Production relationship/stake semantics stay open. See DECISION_LOG.md#d-004 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Define follow state, repeat charges, eligible recipients and zero-staker behavior.	SPEC_CONFLICTS.md#c-007
M-043	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L138	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- Send a CAW (max xxx Characters) (paid 100 to stakepool) 5000 (na, na, 1.5c) 	recommendation	CAW costs 5,000 CAW, 100% to stakepool; appendix character field is unresolved 'xxx'.	Post settlement	For this proposed fixture, route 5,000 to eligible stakepool under resolved M-015 and apply the approved 420 counting rule.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED APPENDIX DEMO ONLY: post fee 5,000 goes to eligible other weights plus visible dust; provisional 420-code-point validation. The xxx placeholder and final counting rule remain unresolved. See DECISION_LOG.md#d-005 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Resolve placeholder versus operative 420 requirement and 'all other' payer exclusion.	SPEC_CONFLICTS.md#c-004
M-044	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L139	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- Like a CAW (paid 80/20 to account and stakepool) 2000 (na,na, $0.007) 	recommendation	Like costs 2,000 CAW, routed 80% account/20% stakepool under appendix reading.	Like settlement	Appendix-only fixture routes 1,600 to poster and 400 to pool; record production decision against competing main-prose rule.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED APPENDIX DEMO ONLY: 2,000 synthetic-CAW like credits 1,600 directly and 400 to eligible stake weights, with literal reference checks. The competing main-prose allocation is preserved and unresolved. See DECISION_LOG.md#d-004 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Which distribution governs?	SPEC_CONFLICTS.md#c-002
M-045	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L140	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	- ReCAW (paid 50/50 to account and stakepool) 4000 (na,na,1.2c) 	recommendation	ReCAW costs 4,000 CAW, routed 50% account/50% stakepool under appendix reading.	ReCAW settlement	Appendix-only fixture routes 2,000 to poster and 2,000 to pool; resolve recipient ownership at settlement.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED APPENDIX DEMO ONLY: 4,000 synthetic-CAW reCAW splits 2,000 to author and 2,000 to eligible stake weights. Production routing and ownership timing remain unresolved. See DECISION_LOG.md#d-004 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Which distribution and current-versus-historical poster account authority govern?	SPEC_CONFLICTS.md#c-002
M-046	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L144	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	i. The protocol will have no involvement in the hosting of images. This will be up to the frontends to filter,display,host. 	mandatory behavior	Protocol does not host images; frontends filter, display and host them.	Media boundary	Persist public text references separately from replaceable media hosting; do not claim source images are permanent by default.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no user uploads, image hosting/filtering, remote URL previews or shortener. Plain-text posts and local icons do not complete media or portable-reference requirements. See DECISION_LOG.md#d-015 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	How does the explicit image exception constrain 'all data'?	SPEC_CONFLICTS.md#c-006
M-047	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L145-L146	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"ii. It is recommended that frontends render URLs from external sources placed inside posts, 
or employ their own URL shortener so URLs do not destroy the character limit on CAW. "	recommendation	Frontends may render external URLs and use their own shortener to preserve message space.	Media UX	Untrusted URL previews use safe rendering and bounded fetching; signed canonical text must not change invisibly.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no user uploads, image hosting/filtering, remote URL previews or shortener. Plain-text posts and local icons do not complete media or portable-reference requirements. See DECISION_LOG.md#d-015 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	How to avoid an irreplaceable shortener and define URL counting?	SPEC_CONFLICTS.md#c-014
M-048	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L148-L150	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"For example if my CAW was ... ""Just had some great fried fish on Point Road with @tk420 #yum #foodie #bestfrens https://savoryandsweetfood.com/wp-content/uploads/2013/10/20131020-164849.jpg"" 

A frontend should shorten the URL to something like 'https://c.aw/cawdev' prior to the users post, and automically render the URL as a snippet. "	example	Fish post and c.aw/cawdev URL demonstrate shortening and preview rendering; these are not required hostnames or a new cipher step.	Composer	Use synthetic fixtures, stable original references and clear preview; never require the historical example domain.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: EXAMPLE NOT ADOPTED: fixture posts use synthetic text rather than the historical fish URL/domain or private research. No snippet-hosting feature. See DECISION_LOG.md#d-015 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
M-049	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L154-L156	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"P.S. There are no official socials, nor partner projects or further releases. 
CAW is by design without design, and it is up the CAWMmunity to shape CAW. 
Only by giving you the vision and seeing what cames next may we have a truly free and decentralized system."	mandatory behavior	Do not claim official socials, partner-project status or exclusive entitlement; community shaping remains the intent.	Branding and governance	Label this application a community implementation under review; no official badge or Xubu privilege.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED: interface labels community implementation under review and local simulation, using Xubu. No official status or community ratification. Browser QA blocked. See DECISION_LOG.md#d-003 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
R2-001	https://github.com/Xubu-Trad/caw-lab	8f9da9c32b3aa4ff9f3fb095d9995fd38a8f54a6	layers/R2-020_hex_transposition/EVIDENCE/reading_rotation.txt:L1	2a77d034354b3ee698dd0266f93dfd5627e033cb8f79ec891498b80b7eab0e52	the lp was relocked.  we will keep doing this until it is clear that it can find it's forever home.  we have no financial incentive here.  the purpose is success of the experiment	example	Historical recovered claims about relocking and incentives are not verified financial facts and do not authorize managing liquidity.	Evidence and communications	Docs keep quoted claims distinct from verified contracts; no claim of audited liquidity or known motive.	primary/r2-message.txt; primary/ENDPOINT_ASSESSMENT.md; primary/source_captures.jsonl | B-001: CONTEXT ONLY: prototype neither manages liquidity nor certifies recovered assertions about financial incentives or locks. See DECISION_LOG.md#d-015 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
R2-002	https://github.com/Xubu-Trad/caw-lab	8f9da9c32b3aa4ff9f3fb095d9995fd38a8f54a6	layers/R2-020_hex_transposition/EVIDENCE/reading_rotation.txt:L3	2a77d034354b3ee698dd0266f93dfd5627e033cb8f79ec891498b80b7eab0e52	decentralization is a deeper dive then most realize. it actually means 'no devs'  no hidden hand, nobody to wait on to do the needed.  if you are a pleb sitting around waiting for the devs to do something, guess what, you are the dev now. The manifesto is very simple.  It requires the following	mandatory behavior	Interpret 'no devs' as no indispensable hidden controlling party; the same text calls for contributors to build.	Authority and succession	A replacement contributor can build and operate without original developer secrets or approval.	primary/r2-message.txt; primary/ENDPOINT_ASSESSMENT.md; primary/source_captures.jsonl | B-001: TESTED LOCAL SUBSET: deterministic fixture/history reconstruction. Two UI readers use the same model; no independent operator, chain availability, censorship resistance or full builder-disappears result. See DECISION_LOG.md#d-011 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	Operational dependence must be assessed separately from immutable contract ownership.	SPEC_CONFLICTS.md#c-012
R2-003	https://github.com/Xubu-Trad/caw-lab	8f9da9c32b3aa4ff9f3fb095d9995fd38a8f54a6	layers/R2-020_hex_transposition/EVIDENCE/reading_rotation.txt:L5	2a77d034354b3ee698dd0266f93dfd5627e033cb8f79ec891498b80b7eab0e52	1- some dev to put up a github. 	mandatory behavior	Create a reviewable GitHub implementation eventually; current user prompt requires a separately approved repository/publication.	Source publication	Before release, source is accessible at a reviewed approved repository and identified commit.	primary/r2-message.txt; primary/ENDPOINT_ASSESSMENT.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no application Git repository, public source publication or community release agreement; B-001 does not authorize those actions. See DECISION_LOG.md#d-008 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
R2-004	https://github.com/Xubu-Trad/caw-lab	8f9da9c32b3aa4ff9f3fb095d9995fd38a8f54a6	layers/R2-020_hex_transposition/EVIDENCE/reading_rotation.txt:L6	2a77d034354b3ee698dd0266f93dfd5627e033cb8f79ec891498b80b7eab0e52	2- that dev and others contribute to it according to the manifesto (or if clear changes were agreed)	mandatory behavior	Contributors work from the manifesto; clear agreed changes are possible but must be recorded as changes.	Specification governance	Each deviation has a decision reference, evidence, consequences and explicit acceptance scope.	primary/r2-message.txt; primary/ENDPOINT_ASSESSMENT.md; primary/source_captures.jsonl | B-001: CONFLICTS RETAINED: one appendix scenario is implemented and model-tested. Competing source prose remains documented; no second production model, specification amendment or community agreement is inferred. See DECISION_LOG.md#d-004 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	Who agreed, by what open process, and what exactly changed?	SPEC_CONFLICTS.md#c-011
R2-005	https://github.com/Xubu-Trad/caw-lab	8f9da9c32b3aa4ff9f3fb095d9995fd38a8f54a6	layers/R2-020_hex_transposition/EVIDENCE/reading_rotation.txt:L7	2a77d034354b3ee698dd0266f93dfd5627e033cb8f79ec891498b80b7eab0e52	3- eventually we have a thing that is solid, peer reviewed, contributed to by many and it is agreed to be released	mandatory behavior	Release needs solid work, peer review, multiple contributions and agreement; one agent's tests do not establish this.	Release assessment	Separate author self-tests, independent review, independent reproduction and documented objections; do not release by unilateral completion label.	primary/r2-message.txt; primary/ENDPOINT_ASSESSMENT.md; primary/source_captures.jsonl | B-001: SAME-TEAM REVIEW ONLY: source inspection, separate literal-accounting expectations and 40/40 tests in coordinator's second supervised run. No independent external security review, community acceptance or release approval. See DECISION_LOG.md#d-013 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	No external review or community release agreement exists for this new application.	SPEC_CONFLICTS.md#c-011
R2-006	https://github.com/Xubu-Trad/caw-lab	8f9da9c32b3aa4ff9f3fb095d9995fd38a8f54a6	layers/R2-020_hex_transposition/EVIDENCE/reading_rotation.txt:L9	2a77d034354b3ee698dd0266f93dfd5627e033cb8f79ec891498b80b7eab0e52	if you are waiting on some dev to do something, maybe do not worry about him anymore and follow the above	recommendation	Participants are encouraged to contribute instead of waiting for a particular developer.	Contributor experience	A new contributor can follow public source/build instructions without an exclusive gatekeeper.	primary/r2-message.txt; primary/ENDPOINT_ASSESSMENT.md; primary/source_captures.jsonl | B-001: LOCAL PREPARATION ONLY: application source and build/test directions exist, but public contribution workflow has not been approved or exercised. See DECISION_LOG.md#d-003 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
R2-007	https://github.com/Xubu-Trad/caw-lab	8f9da9c32b3aa4ff9f3fb095d9995fd38a8f54a6	layers/R2-020_hex_transposition/EVIDENCE/reading_rotation.txt:L11	2a77d034354b3ee698dd0266f93dfd5627e033cb8f79ec891498b80b7eab0e52	also to be very very very very clear. This code and contract needs to be put up with no dev backdoors, no proxy, no multisigs . In fact, it needs to be written in a way that after the deploy, the dev(s) that deployed it do not matter more than any individual community member. 	mandatory behavior	Code and contract have no developer backdoors, proxies or privileged multisigs; deployers have no greater power after deployment.	Protocol authority	Check complete deployed authority graph and dependency wiring; demonstrate former deployer equivalence to ordinary account.	primary/r2-message.txt; primary/ENDPOINT_ASSESSMENT.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no smart contracts, deployment or production authority graph. Synthetic device checks and local server isolation cannot establish protocol custody, royalty controls or absence of privileged developer powers. See DECISION_LOG.md#d-006 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	R2 says 'no proxy', stronger than the manifesto's 'no upgradeable proxyies'; resolve library/clone scope.	SPEC_CONFLICTS.md#c-012
R2-008	https://github.com/Xubu-Trad/caw-lab	8f9da9c32b3aa4ff9f3fb095d9995fd38a8f54a6	layers/R2-020_hex_transposition/EVIDENCE/reading_rotation.txt:L13	2a77d034354b3ee698dd0266f93dfd5627e033cb8f79ec891498b80b7eab0e52	"The scope of what we are trying to achieve needs to be greater than any single human or group and be truly censorship resistant.   On the same note, anybody trying to build a 'growth fund"" or ""dao"" or ""support token""  based around this can go and die. we do this for teh community. CAW is exactly what it says it is."	mandatory behavior	System scope exceeds any one human/group and aims for censorship resistance; quantify actual dependency assumptions.	Independence and resilience	Disable the original operators and reconstruct state and submission from documented independent sources.	primary/r2-message.txt; primary/ENDPOINT_ASSESSMENT.md; primary/source_captures.jsonl | B-001: TESTED LOCAL SUBSET: deterministic fixture/history reconstruction. Two UI readers use the same model; no independent operator, chain availability, censorship resistance or full builder-disappears result. See DECISION_LOG.md#d-011 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	Underlying chain, archival availability and economics impose explicit limits.	SPEC_CONFLICTS.md#c-006
R2-009	https://github.com/Xubu-Trad/caw-lab	8f9da9c32b3aa4ff9f3fb095d9995fd38a8f54a6	layers/R2-020_hex_transposition/EVIDENCE/reading_rotation.txt:L13	2a77d034354b3ee698dd0266f93dfd5627e033cb8f79ec891498b80b7eab0e52	"The scope of what we are trying to achieve needs to be greater than any single human or group and be truly censorship resistant.   On the same note, anybody trying to build a 'growth fund"" or ""dao"" or ""support token""  based around this can go and die. we do this for teh community. CAW is exactly what it says it is."	mandatory behavior	No growth fund, DAO or support token built around this project; inflammatory rhetoric is historical wording, not an instruction to harm.	Product economics	Inventory tokens, governance, fee flows and operator funding; no extra governance token, builder treasury or disguised support fund.	primary/r2-message.txt; primary/ENDPOINT_ASSESSMENT.md; primary/source_captures.jsonl | B-001: SCOPE ONLY: no support token, growth fund, DAO, paid service or production treasury added. Synthetic credits and held dust have no real financial value. See DECISION_LOG.md#d-015 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
R2-010	https://github.com/Xubu-Trad/caw-lab	8f9da9c32b3aa4ff9f3fb095d9995fd38a8f54a6	layers/R2-020_hex_transposition/EVIDENCE/reading_rotation.txt:L15	2a77d034354b3ee698dd0266f93dfd5627e033cb8f79ec891498b80b7eab0e52	gl anons. 	example	Closing salutation marks the recovered text's end; it is not a new protocol requirement.	Evidence scope	Preserve exact terminal space and byte fingerprint; no new cryptanalysis absent a concrete provenance conflict.	primary/r2-message.txt; primary/ENDPOINT_ASSESSMENT.md; primary/source_captures.jsonl | B-001: SOURCE PRESERVED: R2 is unchanged; no cryptanalysis restarted for B-001. Closing salutation is context, not application behavior. See DECISION_LOG.md#d-015 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
